19:27:22.200 [main] INFO  c.h.journalApp.JournalApplication - Starting JournalApplication using Java 19.0.1 with PID 28664 (C:\Users\harsha\Downloads\journalApp\journalApp\target\classes started by harsha in C:\Users\harsha\Downloads\journalApp\journalApp)
19:27:22.207 [main] INFO  c.h.journalApp.JournalApplication - The following 1 profile is active: "dev"
19:27:23.331 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
19:27:23.418 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 79 ms. Found 2 MongoDB repository interfaces.
19:27:24.267 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8082 (http)
19:27:24.286 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
19:27:24.290 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
19:27:24.291 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
19:27:24.382 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext
19:27:24.382 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2076 ms
19:27:24.699 [cluster-ClusterId{value='679b854452458e4771852b30', description='Cluster0'}-srv-cluster0.e3da1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-01.e3da1.mongodb.net:27017 to client view of cluster
